,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
0,Male,No,22.0,No,Healthcare,1.0,average,4.0,4.0,13.358,12.344,7.289,-5.184,D
1,Female,Yes,38.0,Yes,Engineer,1.0,average,3.0,4.0,4.049,5.01,3.936,2.621,A
2,Female,Yes,67.0,Yes,Engineer,1.0,low,1.0,6.0,9.349,3.823,2.95,0.583,B
3,Male,Yes,67.0,Yes,Lawyer,0.0,high,2.0,6.0,-0.617,-2.289,6.696,3.299,B
5,Male,Yes,56.0,No,Artist,0.0,average,2.0,6.0,10.27,11.683,12.74,4.996,C
6,Male,No,32.0,Yes,Healthcare,1.0,low,3.0,6.0,13.422,2.968,5.226,5.37,C
7,Female,No,33.0,Yes,Healthcare,1.0,low,3.0,6.0,12.074,1.829,7.381,6.384,D
8,Female,Yes,61.0,Yes,Engineer,0.0,low,3.0,7.0,8.891,2.658,-1.026,6.459,D
9,Female,Yes,55.0,Yes,Artist,1.0,average,4.0,6.0,13.46,4.421,9.754,14.732,C
10,Female,No,26.0,Yes,Engineer,1.0,low,3.0,6.0,5.523,7.129,4.219,1.448,A
11,Male,No,19.0,No,Healthcare,4.0,low,4.0,4.0,0.815,9.21,3.605,3.516,D
12,Female,No,19.0,No,Executive,0.0,low,3.0,3.0,5.433,0.901,7.14,2.543,D
13,Male,Yes,70.0,No,Lawyer,1.0,low,1.0,6.0,9.223,4.712,3.6,1.725,A
14,Female,Yes,58.0,No,Doctor,0.0,low,1.0,3.0,5.66,5.344,2.991,5.292,B
15,Female,No,41.0,No,Healthcare,1.0,low,2.0,1.0,13.282,7.001,17.051,13.82,C
16,Female,No,32.0,No,Homemaker,9.0,low,5.0,3.0,4.605,6.703,3.325,9.863,D
17,Male,No,40.0,No,Healthcare,1.0,low,6.0,6.0,0.72,6.012,2.465,1.889,B
18,Male,Yes,58.0,Yes,Entertainment,1.0,average,4.0,6.0,2.403,6.108,-2.562,5.181,B
19,Female,Yes,79.0,Yes,Artist,0.0,high,1.0,6.0,15.093,9.787,6.952,9.758,C
20,Male,Yes,49.0,Yes,Homemaker,12.0,low,1.0,3.0,5.06,3.602,5.364,3.717,A
21,Female,No,18.0,No,Healthcare,3.0,low,4.0,6.0,8.086,2.014,1.119,0.7,D
22,Male,Yes,33.0,Yes,Artist,13.0,low,2.0,3.0,6.083,4.769,8.39,5.881,A
23,Female,No,36.0,Yes,Artist,5.0,low,2.0,6.0,9.64,5.49,4.114,1.057,B
25,Male,Yes,56.0,No,Artist,1.0,average,3.0,6.0,20.129,10.461,9.783,4.437,C
26,Male,No,31.0,No,Healthcare,9.0,low,8.0,4.0,9.208,3.817,1.224,3.865,A
27,Male,Yes,49.0,Yes,Artist,1.0,average,3.0,6.0,9.114,9.325,15.803,13.83,C
28,Male,No,35.0,Yes,Artist,0.0,average,1.0,6.0,3.294,0.868,1.761,4.754,B
29,Female,No,35.0,No,Artist,5.0,average,4.0,6.0,6.06,5.745,6.643,10.377,C
30,Female,Yes,45.0,Yes,Artist,0.0,low,3.0,6.0,8.48,12.193,6.167,6.863,C
31,Female,Yes,42.0,No,Doctor,1.0,low,2.0,4.0,5.034,6.717,4.985,2.783,A
32,Male,No,19.0,No,Healthcare,1.0,low,3.0,2.0,6.275,5.928,5.155,3.425,D
33,Male,No,26.0,No,Homemaker,9.0,low,3.0,6.0,11.682,0.071,0.342,3.04,D
34,Female,Yes,83.0,No,Lawyer,1.0,high,2.0,6.0,5.114,7.542,7.068,1.717,D
35,Female,No,27.0,Yes,Healthcare,3.0,low,4.0,1.0,14.349,9.643,1.79,5.995,D
36,Male,No,32.0,No,Doctor,5.0,low,3.0,4.0,6.94,11.151,7.382,3.274,D
37,Female,Yes,28.0,No,Healthcare,1.0,average,5.0,3.0,8.193,6.278,9.816,7.59,D
38,Female,Yes,28.0,Yes,Artist,8.0,average,2.0,6.0,6.666,3.748,2.603,3.566,A
39,Male,Yes,56.0,Yes,Artist,1.0,average,2.0,6.0,8.466,-0.717,10.577,11.84,C
40,Female,No,47.0,Yes,Artist,4.0,low,1.0,6.0,8.848,1.323,6.738,3.656,B
